f_id,o_id
3832,2421
18905,93
4858,1
11533,2968
14208,84
12663,459
1544,5515
11408,611
15424,237
1238,37
13375,22
17220,55
267,1102
4447,569
7568,692
18484,2227
3648,90
4670,1603
7957,183
9412,3537
13748,43
16495,74
13752,7117
8348,0
4028,301
17002,282
14860,151
17500,13
15642,1749
13270,674
14754,38
10696,42
1568,37
14451,449
5188,2401
12185,361
16178,382
468,429
982,803
13064,270
2476,3252
680,13
878,1264
10264,349
12817,42
17824,429
16574,8
4728,24
5160,5949
19796,37
14872,10
6276,10
14038,856
18058,13
6780,6172
6384,1
2520,194
8659,22
547,93
19682,271
6422,6111
2750,24
860,1880
7322,1976
15461,42
16125,19
9691,1228
10106,37
8416,144
8469,138
16662,264
5826,1359
12289,61
5791,31
6084,43
7093,1108
2040,40
15089,28
17625,115
19402,3116
5221,248
12934,862
13727,23
8952,32
11704,511
8620,8
5029,1289
11722,1096
7592,75
12213,2
17624,36
4134,2
9530,810
7378,4447
12028,7
10233,361
1471,1
4992,1276
5930,1890
16789,462
648,2090
8838,2176
15186,498
13199,2
13406,1198
13726,3694
18028,155
5954,30
9028,337
16991,7599
9482,122
2934,2401
3437,842
10132,144
19440,145
15316,375
4948,22
2307,1741
18960,1000
11486,43
13412,13
10612,4
19402,164
1281,1274
978,3960
3657,9
663,2
10281,2935
10798,88
338,307
8756,8
10678,42
11404,72
16806,425
17087,8
14199,28
6576,6142
19564,30
6159,2473
11076,56
16475,545
8284,2891
3561,303
6219,31
12358,193
13130,1938
19236,144
1634,32
9545,2928
7203,1417
163,147
3556,22
13746,28
16657,953
13642,93
452,3883
1658,5529
2797,118
12542,13
1832,3
7915,906
414,32
9330,601
11645,4744
17062,43
16624,3
17726,2
5204,584
9104,116
18514,4914
3518,57
11212,6729
5369,4279
7746,7
6275,76
11892,150
17423,151
8660,6411
15472,1244
13840,4886
419,2332
8455,28
1837,65
403,28
3028,3
5618,56
4940,12
3436,2411
10618,19
12873,6982
19200,3040
3744,122
12887,92
5448,2826
8798,4541
5861,174
11595,2016
5884,1
7778,472
3605,1304
16284,421
4332,2
1812,214
15910,43
5780,1503
13038,58
18754,259
16470,523
3904,30
13061,1
5228,259
9146,664
16532,154
14812,11
6278,10
6003,2840
16428,1662
7412,403
9120,162
7013,72
18469,30
1854,58
10488,38
6478,1368
5261,61
14046,563
6348,40
11412,752
2553,1117
11836,248
5051,1
13026,1682
11128,101
6970,639
7595,0
4495,518
11230,3370
19260,3829
4882,1408
12068,42
13316,220
13358,2271
10040,7
7242,2666
2372,901
11802,2550
18092,198
9630,6513
19246,122
9120,1289
13650,533
4814,2
5784,1318
15414,137
11200,810
2806,4092
4052,5837
3242,136
17830,72
18954,423
13676,487
10249,3
11665,769
15824,2
3316,2752
8021,163
4716,5885
19318,1409
7428,139
13500,964
11687,1
14880,25
7905,571
14300,163
16261,51
9502,618
996,89
4551,81
3517,101
6632,559
13232,1873
4841,1613
16066,7455
19418,125
4435,569
7996,180
11230,3609
18465,158
15696,5004
1128,54
18974,265
2799,2399
14223,4906
1630,3217
2268,33
7852,554
11770,13
15016,5
5021,2352
7909,1155
5736,131
3070,122
15666,67
14368,7220
5648,1481
11230,131
13585,619
10032,29
17600,338
16996,635
17662,48
8190,83
2456,73
17581,86
15642,27
9782,24
19662,3123
4794,1408
9950,3522
1834,19
6248,42
8635,4115
5852,1103
10484,7
14408,51
282,48
6587,1183
11084,3594
9120,61
15722,220
19622,81
8518,260
9424,11
2586,526
18880,2618
17105,71
12104,2977
12557,121
2286,1
16675,3697
10232,880
7964,1654
14872,47
17475,43
13406,7051
8844,498
11024,475
5991,31
16972,23
11939,507
10197,83
3857,946
16848,7558
18481,40
11413,0
4335,57
9770,7
11722,1425
1831,1286
16416,121
8232,489
11848,3603
7631,733
12252,1
5861,576
16434,373
4551,3357
461,3
14106,183
13276,42
14928,36
13432,2564
16152,173
19487,183
15812,5016
11112,81
18206,723
19125,402
7876,734
17408,572
13688,9
16184,382
2548,450
7710,1193
19491,1
17786,3
6092,1318
16285,0
13556,0
6550,137
5278,165
13771,3695
15556,1063
5907,292
15403,832
10951,127
12746,673
10771,237
10716,556
7676,1273
11816,3631
12646,946
1182,224
12108,27
5311,261
5719,136
269,485
15315,209
19076,7866
9962,20
5688,3404
2278,27
13199,41
17825,1025
8832,1
13399,30
13729,118
5451,31
14816,7
5688,2
12426,1428
18064,13
6353,147
11228,324
4800,58
6814,32
10612,33
1180,22
9808,879
2230,1899
255,0
14315,7212
4880,17
18516,23
9434,1
11432,23
2836,127
11404,165
7320,67
16584,2291
8968,29
2651,8
5679,19
14597,316
14343,200
15874,68
11786,1161
14403,101
5407,316
13946,4891
8414,32
17232,42
438,2646
2796,666
18704,151
17114,2
982,1171
19241,432
770,3
344,3882
11926,0
15428,0
3570,0
11792,100
7851,40
660,3166
3860,11
12542,22
1168,1
19586,471
1281,806
12186,356
4040,2779
1092,2100
9224,155
1036,8
14950,1266
8675,1283
19629,164
14102,196
17195,1658
8476,3399
15486,1607
2457,496
14663,0
4438,56
5510,10
7699,219
18966,654
400,2644
16998,635
9628,1018
4850,107
11559,2
17606,2606
13206,515
949,20
6080,4346
14475,7243
17062,456
12505,632
11374,7
3389,98
17435,31
14410,3
8182,224
15459,4
5310,129
13288,0
14571,28
19654,928
4420,1403
3192,662
7644,134
5671,9
14831,919
14358,13
16394,273
7436,186
5205,151
13572,3185
12667,3655
19484,1442
2096,186
11268,212
13051,1
18880,505
10204,1495
17126,170
729,231
12638,139
13634,0
15632,22
3852,17
9463,332
13606,218
8898,4
7434,24
4705,8
18445,81
12281,2
7888,467
3376,56
8556,23
3644,5766
7376,263
13153,300
11418,93
18021,370
15796,7422
14082,673
7036,1973
16979,1071
13558,60
5718,650
3412,1488
15835,253
10412,161
7580,183
14834,206
19202,1
9382,190
11788,5
12294,606
12536,248
13638,23
438,8
756,51
2572,3262
2701,542
9594,48
7254,53
2742,542
675,15
5590,1499
7753,4482
16022,2289
12124,28
1730,2699
16048,40
17588,32
17741,5158
15336,2590
8678,66
10240,880
16665,2990
11234,930
11681,225
7931,0
229,127
5917,519
7954,57
18965,0
5988,748
19396,140
11641,854
17026,490
3450,37
2809,155
4179,1049
3471,1383
7641,6272
19524,23
7278,4131
8077,31
4262,112
1101,86
7242,40
2624,0
3344,2149
4019,51
14068,66
6202,477
16066,72
13140,4225
18379,1500
5186,503
14618,40
568,131
4303,541
660,723
1340,1101
2278,1900
1371,5500
6757,446
5603,2
7601,8
9514,618
6018,3413
14352,3
15710,2
1916,3
4941,1084
12023,1
10062,3
1450,3
226,2321
9610,40
13038,170
9250,19
4449,27
14992,66
18153,490
15234,131
460,702
15660,7408
3862,11
11358,51
11584,28
5834,1023
13072,517
14593,1686
1038,36
8108,29
11392,766
11242,3
334,280
4832,145
6012,832
14976,131
17475,78
6661,30
8130,263
6653,4392
31,105
5092,466
13780,2
15368,2592
16104,5046
17650,24
4990,497
907,174
17850,7705
208,485
4881,1020
4533,1
19091,3323
8612,505
15940,66
11986,1
18618,462
12964,804
13462,47
2389,264
10383,75
566,50
13010,38
6642,2780
4310,63
3470,8
840,1879
15118,4
9242,61
12213,200
11806,4758
4744,5897
1831,458
3850,1217
12095,20
14615,26
11212,247
16019,0
11887,150
18697,0
3492,806
17734,38
5277,31
17670,7690
1708,38
3694,655
10395,36
10688,42
14920,3037
8807,459
3904,349
10570,2
1394,87
15206,1299
1961,727
11727,555
8781,125
478,89
3882,543
8818,6422
12511,61
2715,530
19670,241
9368,438
8743,22
11790,41
17614,180
2846,187
17215,299
15534,42
624,3
6537,8
1032,106
17346,313
9727,3555
15817,167
6000,70
19032,82
12296,4791
19270,7901
3866,380
18002,7
8428,18
14719,1506
11408,84
14051,199
4310,4212
8654,6404
11184,3
12646,1567
7561,60
10221,27
11864,6872
11792,121
16937,3079
2705,530
17447,1
5887,174
3304,0
6926,25
7590,0
17286,1461
18021,108
8440,141
12194,6915
111,977
16902,521
2870,1046
12511,814
4286,246
756,265
5178,36
1609,31
6754,2
12877,489
8658,222
11345,4
18218,2
10960,38
13988,7
6872,3344
17715,4
12436,0
3332,13
1002,536
19669,1861
18185,292
2880,196
278,1857
11268,701
2672,102
3334,1042
1746,194
10244,5
15473,42
5301,124
15819,2
1202,1060
17820,712
19240,2622
19179,1018
473,8
11793,1947
13327,526
8324,576
9147,445
12051,31
18812,336
7720,139
17372,118
14750,3857
12667,17
15767,0
2387,259
7671,934
13153,3262
12692,1582
18236,38
11847,782
3378,131
17850,4993
17546,1194
16670,22
12424,19
16278,359
15012,118
13558,533
2464,4054
14970,728
3783,1306
7753,1628
6570,149
19612,13
4108,41
5837,640
17552,7665
19109,5
3556,399
19174,2305
17974,5039
7980,24
10526,144
17150,3486
16472,545
9035,38
3412,794
17988,2502
13572,168
14231,7196
19298,5256
337,1856
