a_id,o_id
112,1145
181,454
1,96
27,6403
24,447
67,2583
134,87
466,639
9,1682
27,3529
0,87
9,271
380,72
110,161
54,2141
6,428
128,314
1772,1050
151,726
5,125
139,1031
53,353
166,0
422,158
78,716
136,115
159,1369
82,2591
288,158
1339,995
4,74
22,1431
463,1015
36,635
38,473
43,1345
460,523
354,2
47,101
17,82
59,2391
1,885
19,508
8,1591
1049,2687
282,854
72,702
316,57
226,187
30,3451
27,2266
583,149
145,327
2,200
758,133
117,3
101,654
119,1493
240,7226
264,2311
329,51
6,659
794,126
21,1546
102,187
49,13
4,4799
139,143
35,78
159,209
1549,8
152,161
371,87
48,82
11,38
825,638
2,1427
158,42
95,1185
10,101
245,852
1625,4721
21,355
936,2675
2,2797
53,50
1277,19
11,482
80,15
209,429
13,757
15,27
75,260
241,28
61,745
483,43
123,16
17,643
109,29
132,84
14,80
201,591
588,77
367,3134
23,258
198,364
5,3132
41,39
27,116
75,832
1,1125
38,340
18,5320
31,533
17,207
381,1180
10,784
600,80
7,1240
69,132
2,95
438,859
2205,0
89,1092
226,4639
216,2861
139,56
126,4672
7,1
0,497
846,0
246,1504
1083,23
82,740
212,8015
167,93
24,149
169,521
1108,4499
11,2290
76,232
982,12
78,3009
12,4548
228,7267
723,7853
66,165
449,43
75,433
8,118
458,1966
4,7197
26,2269
26,3760
936,496
297,314
117,473
122,1781
16,2218
13,46
714,141
22,196
32,5669
45,733
1936,2219
48,5067
26,58
432,381
12,121
37,410
120,960
83,52
16,139
1155,2
55,42
252,4681
19,6117
140,868
382,467
93,2256
82,23
18,5635
1027,237
8,873
63,973
17,1261
238,349
614,1764
35,1409
180,734
0,76
2156,5042
12,5776
67,2032
339,1143
200,387
4,2166
96,3071
114,72
98,1605
1,7340
40,726
5,24
104,1720
136,88
85,155
32,25
143,6755
4,87
133,373
27,286
5,5431
31,1130
57,1367
819,7634
8,225
222,62
1983,2467
26,461
1815,542
14,298
1123,502
23,40
136,660
64,1995
168,5
35,3887
73,136
1,2895
2172,46
26,7025
1,468
79,23
25,5587
254,43
143,1030
21,138
300,183
35,1742
2,809
343,480
25,2645
6,240
505,6012
172,8
826,3913
24,47
229,90
67,0
90,163
4,1315
1,4775
154,1360
1282,2830
11,505
110,17
80,36
6,316
986,8
15,6
40,577
167,3820
102,1923
434,329
145,139
1599,2001
393,2361
1,1048
151,10
45,515
905,482
725,225
1018,93
22,2505
3,19
24,770
1098,732
19,1033
920,1040
816,2017
16,53
124,1486
221,100
317,2845
269,686
1468,28
133,1299
103,2533
361,498
234,0
1,161
2190,947
62,2722
556,356
21,31
632,2
104,699
671,53
35,1659
37,1065
182,2
2142,4995
2,1283
570,4051
95,6529
52,473
89,2176
10,2037
33,444
32,7229
243,2699
5,190
7,992
2067,721
143,32
86,5159
9,4
1839,3319
236,3163
156,220
1230,698
294,118
114,370
160,118
107,1543
8,2038
2130,88
425,118
1141,3746
5,370
345,3399
1167,60
729,32
307,118
240,51
60,262
753,3634
122,59
32,815
16,1764
145,0
364,140
41,183
69,2101
343,774
184,7157
778,1255
62,4214
360,6846
734,252
40,8
1013,43
269,3241
287,2976
12,86
214,1223
145,588
255,1934
96,13
15,996
186,2342
326,687
74,3848
471,87
58,40
42,597
228,2644
505,809
90,889
27,1132
380,2
81,4035
145,5970
199,1787
879,2421
612,292
730,2207
19,10
178,601
14,1811
5,2712
38,3048
433,766
472,100
75,1
12,1378
1322,43
109,802
120,1241
66,4527
2,3771
36,3243
12,2088
9,589
620,449
4,432
149,1321
32,3397
304,474
255,255
22,180
1022,5228
792,1043
40,371
90,6110
409,34
72,804
25,227
36,421
495,0
262,163
1588,2898
54,1
24,468
609,2082
192,1818
826,201
74,1362
148,61
155,1003
0,252
79,3372
422,263
303,4631
13,1030
110,122
29,16
1101,140
986,53
220,893
151,573
8,309
585,2761
248,922
41,4971
46,3061
19,151
773,2
351,42
9,2177
11,2559
113,225
97,740
136,40
692,3017
606,423
878,712
43,523
3,1629
2003,6613
1,664
220,1540
212,5017
40,162
990,32
19,595
169,450
7,1170
16,7791
26,2000
791,38
406,0
395,2093
32,565
736,6389
237,1924
2,149
371,430
50,169
73,24
4,3998
248,18
71,5434
1,324
151,1870
153,1
7,1622
254,187
21,250
106,498
796,6592
295,380
140,623
36,1576
977,510
204,265
294,399
379,277
21,702
76,2623
104,28
119,4999
1148,286
20,489
59,1349
784,2574
5,5128
949,308
25,3998
421,203
6,1835
95,117
132,1
425,25
782,127
240,8
39,626
23,361
1023,3121
1208,23
230,3227
145,27
